#BT Balkans reoverhaul

owner = BUL
controller = BUL
add_core = BUL
culture = bulgarian
religion = orthodox
capital = "Velbazhd"			#Became Kyustendil under Ottomans
base_tax = 2 
base_production = 2 
base_manpower = 1 
trade_goods = bt_trade_good_fruit
is_city = yes
hre = no
add_local_autonomy = 10

discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = muslim_tech
discovered_by = maghrebi_tech
discovered_by = iranian_tech
discovered_by = ottoman
discovered_by = eastern
discovered_by = rhomanian_tech
discovered_by = western
